text,date
"b'Why deplatforming 8chan can be effective. Evidence shows that banning hate sites reduces their reach. What we can learn from the ongoing debate between the White House, Cloudflare, and tech platforms '",2019-08-08T10:00:00Z
b'iPhone Makes Up Less Than Half of Apple Sales for First Time Since 2012. None ',2019-07-30T20:53:50Z
"b""Amazon's Deal to Sell New Apple Devices Under Scrutiny by FTC. None """,2019-08-02T22:22:12Z
b'Apple to Buy Intel Modem Unit to Jumpstart In-House 5G Plans. None ',2019-07-25T20:27:32Z
b'Apple Has Biggest Drop in Two Months as Trade Tensions Escalate. None ',2019-08-05T14:45:31Z
b'Apple Suppliers Said to Be Preparing to Build 75 Million New iPhones for 2H: Sources. None ',2019-07-25T06:03:08Z
b'Facebook workers listened to Messenger conversations. People were paid to transcribe voice recordings - but Facebook says the work has now stopped. ',2019-08-14T10:05:40Z
"b'WeWork isn\xe2\x80\x99t a tech company; it\xe2\x80\x99s a soap opera. WeWork \xe2\x80\x94 excuse me, The We Company \xe2\x80\x94 has been successfully posing as a tech company for years. Its IPO filing shows it\xe2\x80\x99s a real estate company while also revealing some absolutely wild self-dealing. I cannot wait to see what the Securities and Exchange Commis\xe2\x80\xa6 '",2019-08-15T14:39:52Z
"b""Amazon Alexa: Luxembourg watchdog in discussions about recordings. Luxembourg's privacy regulator says it is in discussions with Amazon about the audio clips. """,2019-08-06T15:10:33Z
"b'Apple sales rise while iPhone revenues dip. Third quarter sales rose 1% to $53.8bn, but net profit dropped 13% to $10bn. '",2019-07-30T21:29:12Z
"b""Apple iPhones Get Tariff Reprieve, But Other Tech Gear Still Hit - Bloomberg. Apple iPhones Get Tariff Reprieve, But Other Tech Gear Still Hit Bloomberg The Trump administration delayed a 10% tariff on some Chinese-made products on Tuesday. Apple Inc.'s iPhone was one of the main beneficiaries of the move,... """,2019-08-13T19:36:00Z
b'Microsoft halts listening in to Xbox gamers. The firm said it would no longer listen in to players using the console. ',2019-08-22T13:18:57Z
"b""Nature's language is being hijacked by technology. A new study across three generations shows words from nature are now used more commonly for technology """,2019-08-01T18:27:58Z
"b'Android to add \xe2\x80\x9cChoose your default search provider\xe2\x80\x9d during on-boarding. Natalia Drozdiak, Bloomberg: Starting next year, Google will prompt users to make a choice between Google and three other rival options as their default search provider. Google invited search providers to bid as part of an auction on the new choice screen, wh\xe2\x80\xa6 '",2019-08-05T12:44:18Z
"b""Trump Is Coming for Europe's Most Important Alliance - Bloomberg. Trump Is Coming for Europe's Most Important Alliance Bloomberg Amazon to pass along costs of France's 'digital services tax' CNN French wine poised to double in price due to \xe2\x80\x98Macron\xe2\x80\x99s foolishness\xe2\x80\x99 warns Donald Trump Express.co.uk Apple and Amazon push to keep\xe2\x80\xa6 """,2019-08-20T04:00:00Z
"b""Tim Cook's Direct Line to Trump Is Good News for Tech, Ark's Cathie Wood Says - Bloomberg. Tim Cook's Direct Line to Trump Is Good News for Tech, Ark's Cathie Wood Says Bloomberg Cathie Wood, Ark Investment Management chief executive officer, discusses the impact of the trade war on Apple Inc. with Bloomberg's Emily Chang on... """,2019-08-21T22:07:00Z
b'World Aquatics Championships: Caeleb Dressel takes gold tally to six. Caeleb Dressel wins three golds in one session to take his overall tally to six at the 2019 World Championships in South Korea. ',2019-07-27T15:14:27Z
"b""Google and Mozilla move to stop Kazakhstan 'snooping'. The browsers will prevent government-issued certificates from decrypting net traffic. """,2019-08-21T13:09:06Z
"b""Microsoft workers 'listen' to some translated Skype calls. Workers occasionally listen to calls that have been translated to check the quality of translations. """,2019-08-07T15:14:20Z
"b'Apple releases videos that show how the Apple Card works. Apple has released a series of videos about its upcoming credit card. The videos cover pretty much every aspect of the card\xe2\x80\x99s functionality, from the application and card setup processes, to how to use it to make payments. '",2019-08-06T10:05:00Z
b'TikTok owner ByteDance developing smartphone. Chinese social media company ByteDance has made a deal with device-maker Smartisan to develop a smartphone. ',2019-07-29T17:18:23Z
b'Apple\xe2\x80\x99s tap-to-use student IDs let pupils buy food and badge into their dorms. Apple has a way for students to integrate their ID cards into their iPhones and Apple Watches so they can buy a sandwich without the need for their physical ID card. Apple is expanding the program to 12 universities so more students can use the technology. ',2019-08-13T20:43:30Z
"b'Apple warns you may \xe2\x80\x98permanently\xe2\x80\x99 discolor your Apple Card if it\xe2\x80\x99s stored in leather. Apple\xe2\x80\x99s new Goldman Sachs-backed credit card launched to all US iPhone users just yesterday, and now we\xe2\x80\x99re learning all sorts of fun facts about the physical, titanium card the company is shipping to likely thousands of users at this very moment. Namely, that\xe2\x80\xa6 '",2019-08-21T21:54:42Z
"b'Apple Arcade video game subscription service rumored to cost $4.99 per month. Apple Arcade, the company\xe2\x80\x99s video game subscription service for iPhone, iPad, iPod touch, Apple TV, and Mac computers, will likely cost $4.99 per month when it rolls out this fall. '",2019-08-19T16:52:52Z
"b'Apple Card restrictions include no jailbreaking or cryptocurrency purchases. The Apple Card will come with some unique restrictions. Thanks to the card\xe2\x80\x99s customer agreement, which was posted publicly on creditor Goldman Sachs\xe2\x80\x99 website this afternoon, we know now the Apple Card won\xe2\x80\x99t play nice with a jailbroken iPhone. '",2019-08-02T23:26:46Z
"b'New ceramic and titanium Apple Watch models spotted in watchOS 6 beta. Apple has accidentally revealed two new Apple Watch models in its watchOS 6 beta. The models include titanium and ceramic finishes, and may debut alongside the iPhone 11 announcement next month '",2019-08-17T13:10:22Z
"b'How to sync popular fitness apps to your Apple Watch. Many commonly used apps \xe2\x80\x94 such as MyFitnessPal, Couch to 5K, Strava, and Nike Training \xe2\x80\x94 have made the process of using them with the Apple Watch pretty simple. '",2019-08-22T18:49:53Z
b'Apple reveals special new iPhones for security researchers. Apple is planning to release special security researcher iPhone devices in 2020. The handsets will include deeper access to iOS to make it easier to discover software security vulnerabilities. ',2019-08-08T20:40:07Z
"b'Apple might release two additional iPads models this year. It looks as though Apple\xe2\x80\x99s iPad lineup will get a bit bigger. The company already has five different models of the tablet, but according to new regulatory filings spotted by AppleInsider, there could be two new tablets on the way. '",2019-07-28T13:31:36Z
"b'The Apple HomePod goes on sale in Japan next week. Apple will start selling the HomePod in Japan from next week. Pre-orders are already live on the company\xe2\x80\x99s website, with the smart speaker set to ship on Friday, August 23rd. The HomePod is priced at 32,800 yen in Japan. '",2019-08-16T04:37:35Z
b'Trump says Tim Cook made \xe2\x80\x98good case\xe2\x80\x99 that trade war helps Samsung over Apple. President Donald Trump says Apple CEO Tim Cook \xe2\x80\x9cmade a very compelling argument\xe2\x80\x9d that tariffs on China will hamper Apple\xe2\x80\x99s ability to compete with Samsung. ',2019-08-19T02:28:58Z
"b'Fitbit\xe2\x80\x99s next Versa smartwatch leaks with Alexa and OLED display. Fitbit\xe2\x80\x99s Versa was the company\xe2\x80\x99s best smartwatch yet, but it still lagged behind the category leader \xe2\x80\x94 the Apple Watch \xe2\x80\x94 in a few key ways. But leaks for the next-generation Versa have arrived, courtesy of noted leaker Evan Blass, and it\xe2\x80\x99s bringing some big u\xe2\x80\xa6 '",2019-08-01T17:01:55Z
b'Apple stops letting contractors listen to Siri voice recordings and will offer opt-out later. Apple has said that it will temporarily suspend its practice of using human contractors to grade snippets of Siri voice recordings for accuracy. ',2019-08-02T04:32:41Z
"b'The iPhone now makes up less than half of Apple\xe2\x80\x99s business. Apple on Tuesday reported its fiscal third quarter 2019 earnings, earning $53.8 billion in revenue and earnings per share of $2.18. '",2019-07-30T20:40:38Z
b'Apple baits Trump by saying it wants to keep making Mac Pro in the US. Apple CEO Tim Cook says that the company aims to keep assembling the 2019 Mac Pro in the United States \xe2\x80\x94 just as it did with the previous model. ',2019-07-30T22:21:33Z
"b'iOS 13 beta hints at an Apple iPhone 11 event on September 10th. Apple\xe2\x80\x99s traditional iPhone event is always in September, and iOS 13 is dropping hints that it\xe2\x80\x99ll be on September 10th this year. An image asset has been spotted in beta software, with a calendar marked for the second Tuesday of September. '",2019-08-15T19:51:23Z
"b'Alphabet overtakes Apple to become most cash-rich company. Google\xe2\x80\x99s parent company Alphabet has overtaken Apple to hold the largest amount of financial reserves out of any company worldwide. Alphabet now holds $117 billion in cash, compared to $102 billion for Apple. '",2019-08-01T08:57:07Z
b'Trade disputes have tech device giants splitting along U.S.-China lines. The Great Divide: Tech-device giants split along U.S.-China lines over trade disputes. ',2019-08-18T20:00:00Z
"b'Three of Apple\xe2\x80\x99s 2020 iPhones will reportedly support 5G. As networks begin to roll out 5G networks around the world, phone manufacturers are beginning to roll out phones that will be able to access them. Apple has been widely expected to roll out a 5G-compatible phone in 2020, and now, a new report suggests that al\xe2\x80\xa6 '",2019-07-28T20:27:06Z
"b'Former Siri chief is leaving Apple to join Microsoft\xe2\x80\x99s AI division. Bill Stasior, the former head of Apple\xe2\x80\x99s Siri division, is leaving the company after nearly 10 years to join Microsoft\xe2\x80\x99s artificial intelligence division, reports The Information. He won\xe2\x80\x99t, however, be working on Cortana. '",2019-08-19T22:46:37Z
"b'Running a Windows game on a Mac just got a little bit more feasible. Parallels Desktop now offers DirectX 11 support using Apple Metal, meaning 3D graphics rendering speeds are up to 15 percent faster. The new functionality comes as part of version 15 of the software. '",2019-08-13T11:35:02Z
"b'Apple explains why iPhones now show an ominous warning after \xe2\x80\x98unauthorized\xe2\x80\x99 battery replacements. Responding to criticism that it\xe2\x80\x99s trying to steer consumers toward more expensive battery replacements, Apple claimed that the \xe2\x80\x9cimportant battery message\xe2\x80\x9d added to iOS is there in the name of customer safety. '",2019-08-14T18:06:10Z
"b'Apple\xe2\x80\x99s iPhone will have an in-display fingerprint sensor in 2021, analyst claims. Apple is planning to reintroduce Touch ID with an in-display fingerprint sensor in its 2021 range of iPhones, according to a new report from Ming-Chi Kuo. The analyst says the technology will be included alongside Face ID. '",2019-08-05T11:04:18Z
"b'Deleting your Siri voice recordings from Apple\xe2\x80\x99s servers is confusing \xe2\x80\x94 here\xe2\x80\x99s how. Here\xe2\x80\x99s how to do delete your voice utterances on an iPhone \xe2\x80\x94 but you\xe2\x80\x99ll need to repeat similar processes on every Apple device you own. What you\xe2\x80\x99re going to do is delete all of the information Apple got from Siri, including recordings of your voice. But the w\xe2\x80\xa6 '",2019-08-02T12:21:13Z
b'Alphabet and Amazon rake in higher revenues. The tech giants have both reported around 20% growth in revenues as regulators scrutinise market dominance. ',2019-07-25T21:46:52Z
b'LG updates Apple-endorsed UltraFine 5K Display with iPad Pro support. LG has announced an updated version of its 27-inch UltraFine 5K Display. The new model boosts power delivery to 94 watts and now offers USB-C connectivity as well as Thunderbolt 3. ',2019-07-31T02:48:44Z
"b'Glasgow scientists develop artificial tongue to tackle fake whisky. Scottish engineers have developed technology that can ""taste"" subtle differences between drams. '",2019-08-05T23:05:32Z
"b'Apple joins Google, Facebook, and Microsoft in data-sharing project. Mastodon and Solid also joined the project, which is meant to make it easier to transfer large quantities of data between major companies like Google, Facebook and Microsoft. '",2019-07-30T15:46:52Z
"b'Tech Anxiety Retreats Into Semi-Distant Memory - Washington Post. Tech Anxiety Retreats Into Semi-Distant Memory Washington Post Revenue growth re-accelerated or held strong for many superpowers in the second quarter, and there was good news for less-supersized tech companies, too. '",2019-07-29T14:32:52Z
"b'Google will pause listening to EU voice recordings while regulators investigate. Google has agreed to stop listening in and transcribing Google Assistant recordings for three months in Europe, according to German regulators. '",2019-08-01T17:03:53Z
"b'Ikea goes all in on smart home tech - The Verge. Ikea announced\xc2\xa0that it will invest heavily in a new \xe2\x80\x9cIkea Home smart\xe2\x80\x9d business unit with end-to-end responsibility for its burgeoning portfolio of smart devices. With access to 780 million shoppers who visit Ikea stores each year, the announcement also serves\xe2\x80\xa6 '",2019-08-17T14:51:46Z
"b'Apple buys Intel\xe2\x80\x99s smartphone modem business. Apple has announced that it will acquire Intel\xe2\x80\x99s smartphone modem chip business. As part of the deal, Apple will acquire patents and staff valued at $1 billion or more. '",2019-07-25T20:02:15Z
b'Abbey Road: Beatles fans gather to recreate cover shot. Crowds flock to Abbey Road 50 years after the band strolled over its zebra crossing. ',2019-08-08T15:59:59Z
"b'Apple\xe2\x80\x99s Morning Show logo looks like the one for Elon Musk\xe2\x80\x99s Boring Company. The first big release for Apple\xe2\x80\x99s forthcoming TV Plus streaming service is about a fictional morning show, and its logo looks just like the one used by The Boring Company, Elon Musk\xe2\x80\x99s tunneling project. '",2019-08-19T15:30:40Z
"b'The FAA has reportedly banned the recalled MacBook Pro from all flights. Not like they can easily tell them apart, though '",2019-08-14T00:42:48Z
"b""Analysis | Google's Android, the Defensive Play That Started a Revolution - Washington Post. Analysis | Google's Android, the Defensive Play That Started a Revolution Washington Post Articles sometimes have a long gestation. One that I published this week had its roots in my disagreement with a three-year-old podcast. In this 2016 episode of... """,2019-08-08T16:14:56Z
"b""Jimmy Osmond: Stage return 'off the cards' after stroke. The much-loved singer is now housebound in the US, his brother Merrill confirms. """,2019-08-06T11:29:38Z
"b'MagicDock is a Surface-like dock for the iPad Pro. Apple\xe2\x80\x99s iPad Pro is finally getting a good docking solution. MagicDock looks a lot like a Surface Studio, but it allows an iPad Pro to slot in and be used in both portrait and horizontal modes '",2019-07-26T10:26:28Z
b'Trump delays some items on China tariff list. Apple shares soar as the US delays imposing tariffs on mobile phones and other items from China. ',2019-08-13T14:40:06Z
